SKU,Name,Collection,Short Description,SEO Meta,Description
lh-003,Love Hurts Basketball Shorts,love-hurts,"SkyyRose Love Hurts: Where street passion meets luxury. Rock these mesh basketball shorts with a defiant rose design, born from Oakland grit.","SkyyRose Love Hurts Basketball Shorts: Oakland-inspired luxury streetwear. Defiant rose design on breathable mesh. Shop now for passion, pain, and undeniable style.","SkyyRose Love Hurts Basketball Shorts are a declaration, not just a garment. Imagine twilight descending on an Oakland basketball court, the air thick with untold stories."
lh-004,Love Hurts Varsity Jacket,love-hurts,"Oakland grit meets broken hearts in the Love Hurts Varsity Jacket. Black satin, fire-red script, secret rose garden. Pre-order your battle armor.","SkyyRose Love Hurts Varsity Jacket: Oakland street couture for the heartbroken. Satin, bold script, hidden roses. Pre-order your pain-proof statement.","Oakland bleeds into every stitch of the Love Hurts Varsity Jacket. It's a testament to surviving heartbreak and turning pain into power."
sg-001,The Bay Set,signature,"The Bay Set: embody West Coast luxury with this SIGNATURE collection ensemble. Featuring the iconic blue rose and a vibrant Bay Area skyline, it's a testament to refined style.","SkyyRose The Bay Set: luxury streetwear embodying West Coast prestige. Features signature blue rose & Bay Area skyline. Pre-order now for exclusive style.","Immerse yourself in the sun-drenched opulence of the West Coast with The Bay Set, a definitive statement piece from the SkyyRose SIGNATURE Collection."
sg-002,Stay Golden Set,signature,"Embrace West Coast prestige with the SkyyRose SIGNATURE Stay Golden Set—a luxurious statement of Bay Area style featuring our signature rose and cityscape.","SkyyRose Stay Golden Set: Luxurious Bay Area streetwear. Own a piece of West Coast prestige with this exclusive pre-order. Shop now!","Bathed in the perpetual glow of California sunshine, the SkyyRose SIGNATURE 'Stay Golden' Set is more than apparel—it's a wearable embodiment of West Coast aspiration."
sg-003,The Signature Tee,signature,"The Signature Tee in Orchid: embody elevated style with this premium staple, showcasing SkyyRose's commitment to couture-level everyday luxury.","SkyyRose Signature Tee in Orchid: Experience refined luxury with this premium Bay Area essential. Elevate your signature style today.","Indulge in the understated opulence of The Signature Tee in Orchid, a testament to SkyyRose's commitment to elevated everyday wear."
sg-005,Stay Golden Tee,signature,"Signature Collection: The Stay Golden Tee embodies West Coast ambition, featuring an opulent rose design symbolizing resilience and the pursuit of excellence.","SkyyRose Stay Golden Tee: Luxury streetwear embodying West Coast ambition and success. Featuring an iconic rose design. Shop the Signature Collection now.","Indulge in the radiant prestige of the Stay Golden Tee, a wearable emblem of West Coast ambition."
sg-006,Mint & Lavender Hoodie,signature,"Experience elevated comfort with the Mint & Lavender Hoodie from the SkyyRose SIGNATURE Collection, where a refreshing mint base meets opulent lavender artistry.","SkyyRose Mint & Lavender Hoodie: Experience Bay Area luxury with this SIGNATURE piece. Premium comfort meets lavender floral artistry. Elevate your wardrobe today.","Envelop yourself in the effortless luxury that defines West Coast prestige. The Mint & Lavender Hoodie redefines comfort with an unmistakable air of Bay Area sophistication."
sg-007,The Signature Beanie,signature,"Elevate your everyday with the SkyyRose Signature Beanie: a luxurious knit, bespoke comfort, and a bold statement of West Coast prestige.","SkyyRose Signature Beanie: Experience elevated style with this luxury knit beanie. Featuring the iconic rose emblem. Available in Red, Purple, and Black. Shop now.","Indulge in the refined embrace of the SkyyRose Signature Beanie, where unparalleled warmth meets the commanding essence of couture."
sg-009,The Sherpa Jacket,signature,"Command attention in the SkyyRose Signature Sherpa Jacket, an opulent statement of West Coast luxury, defined by our signature rose embroidery. Pre-order your legacy.","SkyyRose Signature Sherpa Jacket: Opulent West Coast outerwear featuring signature rose embroidery. Experience unparalleled Bay Area luxury. Pre-order your legacy today.","Envelop yourself in the commanding presence of the SkyyRose Signature Sherpa Jacket — where West Coast luxury meets unparalleled comfort."
sg-004,The Signature Hoodie,signature,"The quintessential SkyyRose hoodie in signature colorway. Premium fleece with embroidered rose detail and Bay Area soul.","SkyyRose Signature Hoodie: Premium West Coast luxury with embroidered rose detail. The essential hoodie for the SkyyRose lifestyle. Pre-order now.","Wrap yourself in the essence of West Coast prestige with The Signature Hoodie — where everyday comfort meets the unmistakable SkyyRose rose emblem."
sg-008,Signature Crop Hoodie,signature,"Cropped silhouette meets luxury streetwear. Peach rose-gold front with black rose design on the back — a duality of softness and edge.","SkyyRose Signature Crop Hoodie: Peach rose-gold meets black rose design. Cropped luxury streetwear. Pre-order now.","The Signature Crop Hoodie redefines casual luxury with a cropped silhouette that commands attention. Peach rose-gold front, black rose artistry on the back — a statement of duality."
sg-010,The Bridge Series Shorts,signature,"Capture the essence of West Coast prestige with The Bridge Series Shorts, a SkyyRose SIGNATURE piece embodying Bay Area's iconic spirit in premium streetwear.","Discover SkyyRose The Bridge Series Shorts, luxury Bay Area streetwear showcasing iconic bridge designs. Experience prestige comfort and elevated style. Pre-order now.","Immerse yourself in the vibrant energy and iconic landscapes of the Bay Area with The Bridge Series Shorts, a standout piece from the SkyyRose SIGNATURE Collection."
po-001,Red #80 Football Jersey,black-rose (pre-order),"Black Is Beautiful football jersey with rose-filled #80 numerals. V-neck athletic cut in bold red with stripe trim sleeves.","SkyyRose Red #80 Football Jersey: Black Is Beautiful collection. Rose-filled numerals, V-neck athletic cut. Pre-order now.","Red V-neck football jersey with #80 in large block numerals — numbers filled with a grey/silver rose, thorns & clouds graphic. BLACK IS BEAUTIFUL across upper back. SR monogram."
po-002,"THE BAY" Basketball Tank,black-rose (pre-order),"Sleeveless basketball jersey with gold THE BAY text, circular rose crest, and grey/silver rose fade. Bay Area pride.","SkyyRose THE BAY Basketball Tank: Bay Area pride meets Black Rose collection. Gold lettering, rose crest. Pre-order now.","White sleeveless basketball jersey with THE BAY in bold gold across the chest. Rose circle graphic and grey/silver rose fade on lower half. BLACK IS BEAUTIFUL on back."
po-003,White #32 Football Jersey,black-rose (pre-order),"Black Is Beautiful football jersey in white with bold black #32. Rose-filled numerals on back, black stripe trim.","SkyyRose White #32 Football Jersey: Black Is Beautiful collection. Bold black-on-white contrast with rose detail. Pre-order now.","White V-neck football jersey with bold black #32 on front. Back #32 filled with grey/silver rose & clouds graphic. BLACK IS BEAUTIFUL text, black stripe trim, shoulder numbers."
po-004,Black & Teal Hockey Jersey,black-rose (pre-order),"Hooded hockey jersey in black with cyan/teal accents. Large circular rose crest, gradient stripe hem and cuffs.","SkyyRose Black & Teal Hockey Jersey: Hooded silhouette with cyan rose crest. Black Rose collection. Pre-order now.","Black hooded hockey jersey with cyan/teal accents. Large circular rose crest on front. Cyan BLACK IS BEAUTIFUL and rose-filled #0 on back. Gradient stripe hem and cuffs."
po-005,Purple GG Bridge Mesh Shorts,signature (pre-order),"Purple mesh basketball shorts with full Golden Gate Bridge sublimated print at twilight. Rose embroidery accent.","SkyyRose Purple GG Bridge Mesh Shorts: Golden Gate Bridge sublimation on premium mesh. Signature collection. Pre-order now.","Purple mesh basketball shorts with full Golden Gate Bridge sublimated print at twilight. Rose embroidery on lower right leg. White drawstring."
po-006,Black Rose Crewneck & Joggers,black-rose (pre-order),"Matching crewneck and joggers set with rose & clouds graphic. White contrast ribbed trim. Sold separately.","SkyyRose Black Rose Crewneck & Joggers: Matching set with rose graphic, white ribbed trim. Sold separately. Pre-order now.","Black crewneck sweatshirt paired with matching joggers. White contrast ribbed collar, cuffs, and waistband. Large grey/silver rose with thorns and clouds graphic. Sold separately."
po-007,Black Rose Beanie,black-rose (pre-order),"Ribbed knit beanie with PVC rose mushroom cloud patch on fold-up cuff. Classic fitted style.","SkyyRose Black Rose Beanie: Ribbed knit with PVC rose patch. Black Rose collection. Pre-order now.","Black ribbed knit beanie with fold-up cuff. PVC patch on cuff featuring the black rose mushroom cloud graphic in grey/silver."
po-009,SR Monogram Slides,black-rose (pre-order),"Black slide sandals with bold SR monogram strap. Contoured footbed for all-day comfort.","SkyyRose SR Monogram Slides: Bold SR branding on contoured comfort slides. Pre-order now.","Black slide sandals with bold SR monogram on the strap. Contoured footbed for comfort. SkyyRose branding throughout."
po-010,Love Hurts Slides,love-hurts (pre-order),"Black slides with Love Hurts tattoo-flash rose & heart graphic on strap. Contoured comfort footbed.","SkyyRose Love Hurts Slides: Tattoo-flash rose graphic on comfort slides. Love Hurts collection. Pre-order now.","Black slide sandals with Love Hurts collection branding. Red rose and heart tattoo-flash graphic on strap. Contoured comfort footbed."
po-011,Black Rose Slides,black-rose (pre-order),"Black slides with rose mushroom cloud graphic in grey/silver. Comfort footbed with SkyyRose branding.","SkyyRose Black Rose Slides: Rose mushroom cloud graphic on comfort slides. Black Rose collection. Pre-order now.","Black slide sandals with Black Rose collection branding. Rose mushroom cloud graphic on strap in grey/silver. Contoured comfort footbed."
sg-011,Original Label Tee (White),signature,"The original SkyyRose label tee in clean white. Minimal design with signature branding for elevated everyday wear.","SkyyRose Original Label Tee in White: Minimal branding, maximum presence. Signature collection essentials. Shop now.","Strip away everything but the essence. The Original Label Tee in White is the purest expression of SkyyRose — clean, confident, unmistakable."
sg-012,Original Label Tee (Orchid),signature,"The original SkyyRose label tee in rich orchid. Minimal design with signature branding for elevated everyday wear.","SkyyRose Original Label Tee in Orchid: Rich color meets minimal branding. Signature collection essentials. Shop now.","Draped in orchid, the Original Label Tee blooms with quiet confidence. A rich colorway that speaks of Bay Area sunsets and understated luxury."
lh-005,Love Hurts Windbreaker,love-hurts,"Oakland fire meets the elements. Blush pink windbreaker with Love Hurts text and rose detailing. Built for the streets that made you.","SkyyRose Love Hurts Windbreaker: Blush pink with Love Hurts text. Oakland-forged luxury outerwear. Pre-order now.","When the wind cuts through the Oakland night, you need armor that matches your spirit. The Love Hurts Windbreaker wraps you in blush defiance — Love Hurts scripted across the back like a battle cry."
