10SKU,Name,Collection,Short Description,SEO Meta,Description
lh-003,Love Hurts Basketball Shorts,love-hurts,"SkyyRose Love Hurts: Where street passion meets luxury. Rock these mesh basketball shorts with a defiant rose design, born from Oakland grit.","SkyyRose Love Hurts Basketball Shorts: Oakland-inspired luxury streetwear. Defiant rose design on breathable mesh. Shop now for passion, pain, and undeniable style.","SkyyRose Love Hurts Basketball Shorts are a declaration, not just a garment. Imagine twilight descending on an Oakland basketball court, the air thick with untold stories."
lh-004,Love Hurts Varsity Jacket,love-hurts,"Oakland grit meets broken hearts in the Love Hurts Varsity Jacket. Black satin, fire-red script, secret rose garden. Pre-order your battle armor.","SkyyRose Love Hurts Varsity Jacket: Oakland street couture for the heartbroken. Satin, bold script, hidden roses. Pre-order your pain-proof statement.","Oakland bleeds into every stitch of the Love Hurts Varsity Jacket. It's a testament to surviving heartbreak and turning pain into power."
sg-001,The Bay Set,signature,"The Bay Set: embody West Coast luxury with this SIGNATURE collection ensemble. Featuring the iconic blue rose and a vibrant Bay Area skyline, it's a testament to refined style.","SkyyRose The Bay Set: luxury streetwear embodying West Coast prestige. Features signature blue rose & Bay Area skyline. Pre-order now for exclusive style.","Immerse yourself in the sun-drenched opulence of the West Coast with The Bay Set, a definitive statement piece from the SkyyRose SIGNATURE Collection."
sg-002,Stay Golden Set,signature,"Embrace West Coast prestige with the SkyyRose SIGNATURE Stay Golden Set—a luxurious statement of Bay Area style featuring our signature rose and cityscape.","SkyyRose Stay Golden Set: Luxurious Bay Area streetwear. Own a piece of West Coast prestige with this exclusive pre-order. Shop now!","Bathed in the perpetual glow of California sunshine, the SkyyRose SIGNATURE 'Stay Golden' Set is more than apparel—it's a wearable embodiment of West Coast aspiration."
sg-003,The Signature Tee,signature,"The Signature Tee in Orchid: embody elevated style with this premium staple, showcasing SkyyRose's commitment to couture-level everyday luxury.","SkyyRose Signature Tee in Orchid: Experience refined luxury with this premium Bay Area essential. Elevate your signature style today.","Indulge in the understated opulence of The Signature Tee in Orchid, a testament to SkyyRose's commitment to elevated everyday wear."
sg-005,Stay Golden Tee,signature,"Signature Collection: The Stay Golden Tee embodies West Coast ambition, featuring an opulent rose design symbolizing resilience and the pursuit of excellence.","SkyyRose Stay Golden Tee: Luxury streetwear embodying West Coast ambition and success. Featuring an iconic rose design. Shop the Signature Collection now.","Indulge in the radiant prestige of the Stay Golden Tee, a wearable emblem of West Coast ambition."
sg-006,Mint & Lavender Hoodie,signature,"Experience elevated comfort with the Mint & Lavender Hoodie from the SkyyRose SIGNATURE Collection, where a refreshing mint base meets opulent lavender artistry.","SkyyRose Mint & Lavender Hoodie: Experience Bay Area luxury with this SIGNATURE piece. Premium comfort meets lavender floral artistry. Elevate your wardrobe today.","Envelop yourself in the effortless luxury that defines West Coast prestige. The Mint & Lavender Hoodie redefines comfort with an unmistakable air of Bay Area sophistication."
sg-007,The Signature Beanie,signature,"Elevate your everyday with the SkyyRose Signature Beanie: a luxurious knit, bespoke comfort, and a bold statement of West Coast prestige.","SkyyRose Signature Beanie: Experience elevated style with this luxury knit beanie. Featuring the iconic rose emblem. Available in Red, Purple, and Black. Shop now.","Indulge in the refined embrace of the SkyyRose Signature Beanie, where unparalleled warmth meets the commanding essence of couture."
sg-009,The Sherpa Jacket,signature,"Command attention in the SkyyRose Signature Sherpa Jacket, an opulent statement of West Coast luxury, defined by our signature rose embroidery. Pre-order your legacy.","SkyyRose Signature Sherpa Jacket: Opulent West Coast outerwear featuring signature rose embroidery. Experience unparalleled Bay Area luxury. Pre-order your legacy today.","Envelop yourself in the commanding presence of the SkyyRose Signature Sherpa Jacket — where West Coast luxury meets unparalleled comfort."
sg-010,The Bridge Series Shorts,signature,"Capture the essence of West Coast prestige with The Bridge Series Shorts, a SkyyRose SIGNATURE piece embodying Bay Area's iconic spirit in premium streetwear.","Discover SkyyRose The Bridge Series Shorts, luxury Bay Area streetwear showcasing iconic bridge designs. Experience prestige comfort and elevated style. Pre-order now.","Immerse yourself in the vibrant energy and iconic landscapes of the Bay Area with The Bridge Series Shorts, a standout piece from the SkyyRose SIGNATURE Collection."
